Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Abr 2012;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;3
Abr 2012;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;3
Abr 2012;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;2
Abr 2012;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;2
Abr 2012;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;3
Abr 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;3
Abr 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;2
Abr 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;1
Abr 2012;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;6
May 2012;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;2
May 2012;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;2
May 2012;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;3
May 2012;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;2
May 2012;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;2
May 2012;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;3
May 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;2
May 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;2
May 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;2
May 2012;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;4
Jun 2012;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;2
Jun 2012;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;2
Jun 2012;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;5
Jun 2012;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;2
Jun 2012;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;2
Jun 2012;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;3
Jun 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;2
Jun 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;2
Jun 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;3
Jun 2012;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;3
Jul 2012;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;3
Jul 2012;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;2
Jul 2012;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;4
Jul 2012;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;3
Jul 2012;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;3
Jul 2012;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;3
Jul 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;2
Jul 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;2
Jul 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;2
Jul 2012;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;3
Ago 2012;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;3
Ago 2012;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;2
Ago 2012;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;4
Ago 2012;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;2
Ago 2012;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;1
Ago 2012;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;3
Ago 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;2
Ago 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;3
Ago 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;3
Ago 2012;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;1
