Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Nov 2011;Ozono;Urbana de Fondo;Suroeste;Villaverde;20
Nov 2011;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;18
Nov 2011;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;17
Nov 2011;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;19
Dic 2011;Ozono;Suburbana;Noreste;Juan Carlos I;21
Dic 2011;Ozono;Suburbana;Noroeste;Casa de Campo;22
Dic 2011;Ozono;Suburbana;Noroeste;El Pardo;21
Dic 2011;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;12
Dic 2011;Ozono;Urbana de Fondo;Interior M-30;Retiro;14
Dic 2011;Ozono;Urbana de Fondo;Noreste;Arturo Soria;12
Dic 2011;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;17
Dic 2011;Ozono;Urbana de Fondo;Noreste;Tres Olivos;20
Dic 2011;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;19
Dic 2011;Ozono;Urbana de Fondo;Suroeste;Farolillo;15
Dic 2011;Ozono;Urbana de Fondo;Suroeste;Villaverde;14
Dic 2011;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;15
Dic 2011;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;13
Dic 2011;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;14
Ene 2012;Ozono;Suburbana;Noreste;Juan Carlos I;21
Ene 2012;Ozono;Suburbana;Noroeste;Casa de Campo;18
Ene 2012;Ozono;Suburbana;Noroeste;El Pardo;22
Ene 2012;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;8
Ene 2012;Ozono;Urbana de Fondo;Interior M-30;Retiro;13
Ene 2012;Ozono;Urbana de Fondo;Noreste;Arturo Soria;15
Ene 2012;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;16
Ene 2012;Ozono;Urbana de Fondo;Noreste;Tres Olivos;19
Ene 2012;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;18
Ene 2012;Ozono;Urbana de Fondo;Suroeste;Farolillo;13
Ene 2012;Ozono;Urbana de Fondo;Suroeste;Villaverde;12
Ene 2012;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;14
Ene 2012;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;14
Ene 2012;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;9
Feb 2012;Ozono;Suburbana;Noreste;Juan Carlos I;43
Feb 2012;Ozono;Suburbana;Noroeste;Casa de Campo;43
Feb 2012;Ozono;Suburbana;Noroeste;El Pardo;41
Feb 2012;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;23
Feb 2012;Ozono;Urbana de Fondo;Interior M-30;Retiro;34
Feb 2012;Ozono;Urbana de Fondo;Noreste;Arturo Soria;30
Feb 2012;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;36
Feb 2012;Ozono;Urbana de Fondo;Noreste;Tres Olivos;42
Feb 2012;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;36
Feb 2012;Ozono;Urbana de Fondo;Suroeste;Farolillo;32
Feb 2012;Ozono;Urbana de Fondo;Suroeste;Villaverde;29
Feb 2012;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;33
Feb 2012;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;32
Feb 2012;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;24
